date,windchill,DTR
160101,3.82570528,7.3
160102,6.1678876,8.5
160103,8.0434268,4.3
160104,-4.5232912,7.8
160105,-5.03929064,6.3
160106,-0.42382104,6.6
160107,-7.307164,7.3
160108,-3.5365244,7.9
160109,-2.94547544,8.6
160110,-3.54312248,6.5
160111,-10.00924176,7.4
160112,-9.453592,9.8
160113,-4.830446,8.3
160114,-1.44666352,9.7
160115,0.91854752,9.6
160116,-6.12921072,4.9
160117,-0.60953128,6.1
160118,-29.13755816,12.7
160119,-45.98635008,6.2
160120,-9.5106236,9.3
160121,-5.99981352,7.9
160122,-13.14397984,7.3
160123,-30.729394,7.7
160124,-27.31071872,7.5
160125,-9.24436624,10.9
160126,-5.72736056,10.2
160127,-1.1643348,9
160128,2.1479508,9.1
160129,0.23591208,6.8
160130,0.6687208,7.7
160131,-13.11126632,6.8
160201,-14.367272,8.1
160202,-7.24497144,10.9
160203,-1.85635904,12.3
160204,-3.41662312,7.9
160205,-5.876212,10.2
160206,-9.85227016,8.2
160207,-3.1052172,11.8
160208,-5.45393448,9.8
160209,-6.1353644,9.4
160210,5.30607688,15
160211,1.7069164,11.9
160212,3.52237792,3.2
160213,6.6347432,8.6
160214,-21.35332464,12.6
160215,-21.9796888,7.7
160216,-7.90559336,7.8
160217,-1.942976,10.6
160218,-3.1040332,9.2
160219,4.30892744,4.3
160220,-4.20349032,8.8
160221,-6.64273616,8.6
160222,1.83764456,6.4
160223,-6.89055384,9
160224,-9.7238888,9
160225,-4.81025136,11.5
160226,1.18461456,10.7
160227,3.5800444,7.6
160228,0.13762248,9.5
160229,-18.9096168,4.8
160301,-6.472442,9.6
160302,-1.89262584,10.3
160303,9.22565176,9.5
160304,11.78078176,13.9
160305,9.82515992,4.4
160306,4.74416808,8.6
160307,8.7557308,7.4
160308,-3.59264792,8.4
160309,-9.3756668,8
160310,-9.32474568,7.4
160311,-4.5153612,10.1
160312,-0.86788,9.7
160313,6.29299128,4.6
160314,1.80419048,8.3
160315,4.55644896,13.4
160316,8.10877,11.1
160317,12.70474168,12.7
160318,13.07504144,11.3
160319,10.341244,11.5
160320,10.62575088,12.6
160321,9.83898952,10.6
160322,6.28688,10.3
160323,4.65482352,10
160324,5.82338752,11.1
160325,6.69194408,10.5
160326,6.0175772,10.5
160327,4.84243648,10.9
160328,10.5887864,15.1
160329,7.44413144,9.5
160330,11.6373012,11.3
160331,14.2317844,15.4
160401,16.5192604,16.5
160402,15.258772,12.1
160403,12.79085096,4.5
160404,12.53645704,14.7
160405,10.341244,12.2
160406,15.87485824,16.3
160407,11.8964332,10.1
160408,9.983506,10.9
160409,12.38030984,6.7
160410,14.12167376,11.4
160411,12.022382,13.7
160412,14.22666712,9.1
160413,17.73863968,10
160414,11.16198816,9.3
160415,14.321764,15
160416,13.25637464,10.9
160417,0.64410784,6.2
160418,7.70802048,11.5
160419,12.1992736,12.7
160420,15.11266952,10.8
160421,11.8056292,6.6
160422,12.4988164,8.5
160423,14.2317844,12
160424,17.0358308,15.6
160425,19.35424416,15.1
160426,22.7732148,17.5
160427,14.37450528,6.2
160428,18.5679696,10.6
160429,16.065052,11.7
160430,14.83196968,9.6
160501,19.84209824,13.8
160502,22.42717128,11.9
160503,3.48281464,8.7
160504,7.76374488,10.4
160505,21.07082392,16.7
160506,17.5975284,5.6
160507,16.1447116,11.9
160508,20.72831216,15.2
160509,21.8027736,9.1
160510,14.6853804,5.6
160511,17.7053552,13.1
160512,17.47621104,11.9
160513,19.84742704,12.7
160514,21.22204464,11.8
160515,16.98095632,11.9
160516,13.66484392,11.1
160517,21.04646328,15.7
160518,24.21275208,16
160519,26.62342792,15.6
160520,26.1137728,14.8
160521,26.0080188,12.6
160522,26.74578312,14.1
160523,25.02262712,11.1
160524,16.50930112,6.4
160525,19.82867096,9.1
160526,21.36385328,5.4
160527,23.09032952,12.3
160528,23.26085688,10.8
160529,22.7128628,10.4
160530,23.25074936,12
160531,22.504336,10.2
160601,25.02262712,12.8
160602,24.53733312,11.9
160603,23.66351056,10.1
160604,23.56399328,8.1
160605,26.92739016,14.9
160606,24.77707256,7.6
160607,23.89813176,6.3
160608,23.40093272,9.5
160609,26.0080188,13.5
160610,26.36097808,11.1
160611,25.7156868,5.6
160612,25.2428484,6.8
160613,24.8882196,10.2
160614,25.57318032,9.8
160615,21.31443512,7.1
160616,21.13684568,6.3
160617,25.127748,10.5
160618,26.6300684,9.8
160619,26.11252536,9
160620,26.92739016,11.1
160621,28.2400688,10.3
160622,26.2236724,9.3
160623,26.56417608,9.8
160624,24.9297508,4.6
160625,23.53269856,7.5
160626,25.64791392,10.9
160627,26.72211936,9.6
160628,26.83658664,9.3
160629,27.14773944,9.3
160630,25.80245392,3.9
160701,25.5798208,4.6
160702,24.8882196,7.1
160703,25.8338964,5.7
160704,21.9576536,3.9
160705,23.91099112,4.6
160706,24.84600984,6.6
160707,26.6477248,8.4
160708,29.52132376,11.2
160709,29.8897836,9.5
160710,30.14087848,9.9
160711,30.66347552,8.6
160712,28.32594632,8.8
160713,28.32594632,6.3
160714,29.647274,8.4
160715,27.93310608,5.5
160716,19.7516352,4
160717,22.46426328,2.7
160718,26.8197744,7.7
160719,29.4227796,11.5
160720,30.86195856,8.9
160721,30.51957384,7.3
160722,31.41872968,8.8
160723,30.96750152,4.4
160724,30.213264,3.1
160725,30.65087264,5
160726,30.60676256,6.3
160727,29.48709088,2.2
160728,30.0897696,3.8
160729,28.59725672,5
160730,30.85849104,6.6
160731,31.16323416,6.2
160801,30.66977696,6.6
160802,29.62030976,6.1
160803,31.36061704,10.2
160804,32.93968008,9.7
160805,33.54842944,9.5
160806,32.7839564,7.4
160807,32.97281776,8
160808,32.8256156,9.1
160809,31.60075928,7.2
160810,31.70630224,8.7
160811,32.908934,10.3
160812,32.8011072,9.5
160813,32.72468432,8.3
160814,31.17858744,4.5
160815,31.38967336,8.2
160816,31.55799992,8.7
160817,32.23401704,9.6
160818,32.15014856,8.1
160819,31.15299864,6.6
160820,32.38005528,8.4
160821,33.17081448,9.7
160822,33.17081448,10.5
160823,30.52815912,7
160824,31.37998792,6.5
160825,29.27881416,8.2
160826,22.7478632,8.7
160827,23.92780336,12.8
160828,21.6135544,6.2
160829,23.9593096,9.7
160830,19.83634832,6.6
160831,14.59500184,3.1
160901,23.66190528,12.8
160902,25.40028656,8.4
160903,26.01051368,8.2
160904,27.9766656,7.5
160905,28.64396992,8.1
160906,26.83658664,8
160907,26.42355016,7.7
160908,25.7293256,5
160909,26.01051368,9.6
160910,26.72211936,9.1
160911,26.7254396,6.1
160912,25.37372464,6.1
160913,26.73332752,11.2
160914,26.73332752,7.5
160915,26.55588488,10.7
160916,27.0125896,9.1
160917,23.78364616,9.7
160918,24.0607524,8.1
160919,21.3145636,9.6
160920,20.20523024,11.4
160921,21.8027736,11
160922,23.94533128,9.7
160923,23.76137616,11.5
160924,24.64959912,12.4
160925,25.8589544,11.1
160926,25.70073632,9.2
160927,23.8925272,4.7
160928,22.88228808,3.1
160929,20.1283408,6.6
160930,22.8731532,5.8
161001,24.15738888,8.1
161002,18.9619752,5.7
161003,23.54308136,8.3
161004,23.1337872,13.4
161005,21.0429972,9.7
161006,17.9676592,9.9
161007,20.03366648,8.3
161008,15.69562048,11.5
161009,8.63464568,10.1
161010,16.4582096,14
161011,17.23348848,11.1
161012,16.734914,9.3
161013,18.25804352,12.6
161014,19.94341064,13
161015,22.14756872,14.7
161016,19.8784272,4.1
161017,20.42289,7.2
161018,19.9522712,12.8
161019,20.649688,10.3
161020,20.53778032,12.9
161021,16.8617108,6.3
161022,20.22800296,8.3
161023,7.3394988,7.2
161024,15.06339816,11.6
161025,14.55955768,5
161026,16.46969208,5.8
161027,16.08594416,12.3
161028,14.157116,8.2
161029,3.6645256,7.7
161030,10.9125204,13.5
161031,6.1678876,7.5
161101,-2.7054188,9
161102,7.81030616,13.2
161103,11.62232904,9.9
161104,10.66645864,7.5
161105,15.571108,5.9
161106,10.4250704,6.4
161107,10.92294656,9.3
161108,-3.9764596,8
161109,2.89307416,11.8
161110,6.491368,8.3
161111,8.93983368,8
161112,11.13035248,11.6
161113,16.52693632,6
161114,15.31523296,5.6
161115,1.33953504,7.7
161116,8.84566752,12
161117,13.41065928,12.5
161118,11.54759688,9.7
161119,13.3232184,8.7
161120,8.433308,8.9
161121,9.3894116,9.5
161122,-9.3971728,10.5
161123,-8.8793336,8.4
161124,-3.385918,8.6
161125,4.260396,9.5
161126,-0.91087112,3.4
161127,6.4777708,6.1
161128,-1.583356,7
161129,4.31916248,11.4
161130,6.491368,9.1
161201,-4.53773416,8
161202,2.98372992,11.4
161203,8.1868012,12
161204,10.1866404,7.5
161205,1.1818868,9.8
161206,-4.564506,8.5
161207,0.00655544,10.2
161208,4.10697688,9.1
